term1,term2,cooc
wish,switch,53
go,digital,39
wish,station,33
user,friendly,27
like,switch,25
mesra,point,21
like,video,20
like,interactive,20
wish,interactive,16
switch,platform,16
interactive,game,15
information,share,14
like,digital,13
digital,initiative,13
good,platform,13
new,way,12
digital,journey,12
like,interface,12
easy,understand,12
digital,petrona,12
short,video,12
like,information,12
easy,use,11
hope,switch,11
switch,team,11
video,wish,11
share,information,10
information,digital,10
petrona,digital,10
mobile,app,10
share,digital,10
switch,interactive,10
like,user,10
digital,wish,9
like,design,9
big,data,9
way,work,9
wish,share,9
platform,digital,9
video,share,9
like,station,9
wish,digital,9
informative,video,8
interactive,platform,8
digital,way,8
interface,wish,8
data,analytic,8
new,technology,8
petrona,staff,8
station,provide,8
bigger,screen,8
wish,information,8
good,information,8
success,story,8
like,informative,8
interactive,switch,8
digital,world,7
digital,technology,7
like,app,7
easy,access,7
like,easy,7
collect,point,7
like,share,7
like,way,7
platform,staff,7
wish,game,7
like,point,7
wish,point,7
interactive,learn,7
like,wish,7
good,share,7
staff,digital,7
station,interactive,6
look,feel,6
way,information,6
digital,project,6
game,quizze,6
make,interactive,6
easy,navigate,6
digital,transformation,6
earn,point,6
informative,interactive,6
new,thing,6
station,platform,6
like,short,6
like,challenge,6
interesting,wish,6
video,content,6
share,knowledge,6
latest,digital,6
like,friendly,6
informative,wish,6
redeemable,point,6
platform,knowledge,6
wish,app,6
digital,switch,6
mobile,wish,6
switch,share,5
interactive,way,5
design,wish,5
social,media,5
machine,learn,5
point,reward,5
way,learn,5
switch,digital,5
info,share,5
station,wish,5
like,gamification,5
knowledge,digital,5
oil,gas,5
gas,industry,5
latest,technology,5
see,switch,5
likes,switch,5
user,interface,5
wish,able,5
point,challenge,5
share,success,5
platform,connect,5
switch,continue,5
platform,share,5
like,new,5
understanding,digital,5
digital,data,5
new,information,5
game,play,5
interactive,video,5
interactive,wish,5
like,simple,5
stop,center,5
center,information,5
switch,informative,5
informative,platform,5
wish,feature,5
share,video,5
point,system,5
share,practice,5
keep,good,5
app,easy,5
use,password,5
like,concept,4
video,switch,4
platform,like,4
like,game,4
game,user,4
wish,content,4
good,wish,4
use,technology,4
insight,digital,4
know,digital,4
learn,data,4
share,best,4
best,practice,4
introduce,digital,4
experience,staff,4
way,switch,4
excellent,platform,4
like,look,4
good,info,4
wish,petrona,4
mobile,device,4
implement,digital,4
complete,challenge,4
switch,great,4
redeemable,mesra,4
job,switch,4
interactive,quiz,4
interactive,activity,4
wish,see,4
friendly,easy,4
mesra,card,4
hope,see,4
interactive,fun,4
wish,know,4
mobile,phone,4
station,game,4
platform,people,4
station,interesting,4
knowledge,share,4
data,help,4
app,wish,4
switch,add,4
see,day,4
day,function,4
wish,platform,4
challenge,video,4
wish,info,4
way,wish,4
platform,wish,4
latest,info,4
digital,agenda,4
user,app,4
switch,app,4
go,wish,4
interactive,challenge,4
add,game,4
wish,video,4
short,concise,4
interactive,design,4
interactive,easy,4
love,video,4
switch,provide,4
good,work,4
like,content,4
switch,good,4
wish,fun,4
provide,digital,4
interactive,user,4
lot,information,4
journey,petrona,4
platform,information,4
digital,change,4
look,switch,4
information,data,4
point,station,4
petrona,station,4
information,switch,4
wish,educational,4
friendly,wish,4
new,work,4
switch,interesting,4
like,platform,4
like,learn,4
stop,information,4
like,system,4
keep,work,4
